322,230,233274,LEC,INT2,Spring 2022,Spring 2022,EPOLY,18
323,231,72944,LEC,A,Spring 2022,Spring 2022,BRKLN,36
325,149,70296,GUI,BK02,Spring 2022,Spring 2022,BRKLN,5
4377,47,170830,PRO,BK05,Fall 2022,Fall 2022,BRKLN,1
1951,233,75000,LEC,LEC,Spring 2022,Spring 2022,BRKLN,39
3190,235,170708,RSC,G,Fall 2022,Fall 2022,BRKLN,5
1828,236,72962,LAB,B,Spring 2022,Spring 2022,BRKLN,40
3570,122,231234,GUI,BK06,Fall 2022,Fall 2022,BRKLN,5
333,150,171115,RSC,BK26,Spring 2022,Spring 2022,BRKLN,15
3079,23,233801,PRO,BG,Fall 2022,Fall 2022,BRKLN,30
3831,237,72952,LEC,ALEC,Fall 2022,Fall 2022,BRKLN,25
337,238,171304,LEC,A,Spring 2022,Spring 2022,BRKLN,30
338,181,170583,GUI,BK10,Spring 2022,Spring 2022,BRKLN,10
1352,239,73997,LAB,D2,Spring 2022,Spring 2022,BRKLN,16
4089,240,73099,LEC,INET,Fall 2022,Fall 2022,EPOLY,18
3996,241,170287,RSC,BK13,Fall 2022,Fall 2022,BRKLN,10
3157,210,171895,RSC,BK22,Fall 2022,Fall 2022,BRKLN,10
344,181,223593,RSC,BK10,Spring 2022,Spring 2022,BRKLN,5
2906,242,74954,IND,BK29,Fall 2022,Fall 2022,BRKLN,15
3316,35,170830,PRO,BK02,Fall 2022,Fall 2022,BRKLN,1
3931,138,72426,RSC,BK02,Fall 2022,Fall 2022,BRKLN,5
350,243,73583,LEC,B,Spring 2022,Spring 2022,BRKLN,18
4108,167,73359,RSC,BK11,Fall 2022,Fall 2022,BRKLN,3
4492,244,72933,LEC,A,Fall 2022,Fall 2022,BRKLN,46
354,226,171115,RSC,BK03,Spring 2022,Spring 2022,BRKLN,15
355,61,72948,LEC,A,Spring 2022,Spring 2022,BRKLN,30
356,131,72961,LEC,A,Spring 2022,Spring 2022,BRKLN,60
3789,246,171435,LEC,E,Fall 2022,Fall 2022,BRKLN,29
5113,21,233801,PRO,BC,Fall 2022,Fall 2022,BRKLN,30
3067,247,74954,IND,BK19,Fall 2022,Fall 2022,BRKLN,15
2969,248,170834,RSC,BK10,Fall 2022,Fall 2022,BRKLN,5
3051,9,74954,IND,BK41,Fall 2022,Fall 2022,BRKLN,15
4929,249,73782,RCT,B3RC,Fall 2022,Fall 2022,BRKLN,24
3528,228,170811,LEC,INET,Fall 2022,Fall 2022,EPOLY,65
4583,250,74918,FLD,ME01,Fall 2022,Fall 2022,BRKLN,35
368,31,74752,LEC,I,Spring 2022,Spring 2022,BRKLN,10
4537,236,171892,PRO,BK12,Fall 2022,Fall 2022,BRKLN,10
2974,251,73652,SEM,A,Fall 2022,Fall 2022,BRKLN,18
2188,252,73768,RCT,B2RC,Spring 2022,Spring 2022,BRKLN,24
372,253,74376,LEC,I,Spring 2022,Spring 2022,BRKLN,15
3629,254,172656,RSC,AD03,Fall 2022,Fall 2022,AD,10
374,255,233031,RCT,ARC,Spring 2022,Spring 2022,WS,3
4961,256,74954,IND,BK21,Fall 2022,Fall 2022,BRKLN,15
2905,257,211724,LEC,B,Fall 2022,Fall 2022,BRKLN,18
5093,41,73967,RSC,D,Fall 2022,Fall 2022,BRKLN,5
1763,258,73820,LEC,A,Spring 2022,Spring 2022,BRKLN,50
379,259,232051,LEC,ALEC,Spring 2022,Spring 2022,BRKLN,40
380,260,72761,PRO,BK04,Spring 2022,Spring 2022,BRKLN,10
5232,150,74954,IND,BK31,Fall 2022,Fall 2022,BRKLN,15
3674,261,171114,PRO,BK39,Fall 2022,Fall 2022,BRKLN,1
4856,262,229760,PRO,B,Fall 2022,Fall 2022,BRKLN,30
5272,82,227235,LEC,INET,Fall 2022,Fall 2022,EPOLY,80
388,4,231234,GUI,BK08,Spring 2022,Spring 2022,BRKLN,5
389,263,221822,LEC,BK11,Spring 2022,Spring 2022,BRKLN,25
5128,264,170708,RSC,B,Fall 2022,Fall 2022,BRKLN,5
5137,265,73782,RCT,D1RC,Fall 2022,Fall 2022,BRKLN,24
4240,266,233353,LEC,A,Fall 2022,Fall 2022,BRKLN,40
395,204,170479,LEC,I,Spring 2022,Spring 2022,BRKLN,25
4234,138,170287,RSC,BK02,Fall 2022,Fall 2022,BRKLN,10
3648,268,73768,RCT,A3RC,Fall 2022,Fall 2022,BRKLN,18
3106,269,73258,LEC,I,Fall 2022,Fall 2022,BRKLN,25
3548,85,73192,LEC,INET,Fall 2022,Fall 2022,EPOLY,70
1830,270,73997,LAB,B2,Spring 2022,Spring 2022,BRKLN,16
4424,271,72775,PRO,A,Fall 2022,Fall 2022,BRKLN,60
4953,270,73783,LAB,B1,Fall 2022,Fall 2022,BRKLN,16
2882,224,73370,RSC,BK14,Fall 2022,Fall 2022,BRKLN,5
3086,272,73967,RSC,J,Fall 2022,Fall 2022,BRKLN,5
4538,250,72956,LAB,CLAB,Fall 2022,Fall 2022,BRKLN,35
409,273,171115,RSC,BK40,Spring 2022,Spring 2022,BRKLN,15
410,274,72820,SEM,C,Spring 2022,Spring 2022,BRKLN,18
3453,276,229760,PRO,W,Fall 2022,Fall 2022,BRKLN,30
5084,235,170603,RSC,O,Fall 2022,Fall 2022,BRKLN,5
4262,277,233801,PRO,Y,Fall 2022,Fall 2022,BRKLN,30
2926,79,170287,RSC,BK01,Fall 2022,Fall 2022,BRKLN,10
415,278,233489,LEC,A,Spring 2022,Spring 2022,WS,4
5086,279,70026,LEC,B,Fall 2022,Fall 2022,BRKLN,30
5301,280,73802,LEC,A,Fall 2022,Fall 2022,BRKLN,29
418,73,73270,GUI,BK11,Spring 2022,Spring 2022,BRKLN,15
3940,32,73967,RSC,F,Fall 2022,Fall 2022,BRKLN,5
3594,62,170512,RSC,BK03,Fall 2022,Fall 2022,BRKLN,1
4899,281,211886,LEC,A,Fall 2022,Fall 2022,BRKLN,30
5255,107,170832,PRO,BK13,Fall 2022,Fall 2022,BRKLN,5
5125,188,234264,PRO,N,Fall 2022,Fall 2022,BRKLN,30
2956,282,73255,PRO,C,Fall 2022,Fall 2022,BRKLN,1
2835,138,73270,GUI,BZ,Summer 2022,Summer 2022,BRKLN,40
3156,38,231235,RSC,BK03,Fall 2022,Fall 2022,BRKLN,2
4839,284,170834,RSC,BK06,Fall 2022,Fall 2022,BRKLN,3
430,265,73886,RCT,DREC,Spring 2022,Spring 2022,BRKLN,24
431,112,234850,LAB,A2LB,Spring 2022,Spring 2022,BRKLN,14
3008,49,229760,PRO,AP,Fall 2022,Fall 2022,BRKLN,30
